Actual_Demand,Predicted_Demand
922.3333333333335,598.1275
1155.6666666666667,734.9298
1389.0,860.1905
1165.1666666666667,975.4131
941.3333333333333,861.0237
717.5,736.0137
493.6666666666667,597.7204
269.83333333333326,452.39676
46.0,298.00858
882.0000000000001,133.54904
691.5,697.5975
501.0,598.6827
310.5,484.04846
119.99999999999999,344.054
415.99999999999994,198.87982
29.0,419.9979
70.0,122.08186
111.0,168.28593
152.0,197.16809
193.0,230.14816
538.0,260.89136
883.0000000000001,500.81424
336.0,712.14404
394.0,348.12848
441.00000000000006,398.34854
393.0,424.90482
25.0,392.73636
28.166666666666668,110.25276
31.333333333333332,124.191444
34.5,127.80398
37.666666666666664,134.98515
40.83333333333333,139.97197
44.0,143.12039
183.0,144.85938
34.0,250.6982
286.0,131.7501
285.3333333333333,322.56616
284.6666666666667,319.79614
284.0,319.39722
283.3333333333333,316.50723
282.6666666666667,314.81226
282.0,314.0342
207.99999999999997,313.93344
119.99999999999999,259.03302
32.0,192.83882
125.0,124.896065
218.0,201.02823
311.0,272.67688
285.6666666666667,342.52966
260.3333333333333,323.53217
235.00000000000003,303.79794
209.66666666666666,283.06696
184.33333333333334,263.14267
159.0,243.85063
133.66666666666669,224.96535
108.33333333333334,206.23012
83.0,187.43504
214.5,168.43024
346.0,270.0691
23.0,365.91248
134.0,116.70129
244.99999999999997,208.95535
403.5,289.67465
562.0,404.99368
264.0,512.74084
183.0,299.29468
38.0,241.37991
92.0,125.18441
239.99999999999997,172.63632
608.0,287.09125
976.0000000000001,541.4566
213.0,763.1448
785.0,248.67917
93.0,645.16644
85.0,148.03857
93.375,169.44545
101.75,172.9387
110.12500000000001,185.5398
118.5,195.86403
126.87499999999999,204.1436
135.25,210.61513
143.625,215.88577
152.0,220.5341
498.99999999999994,225.00919
180.0,469.82132
262.5,237.77853
345.0,304.5684
427.5,360.26956
510.0,419.36447
28.0,476.1279
145.0,109.90585
190.0,214.49959
235.00000000000003,246.5839
280.0,284.84506
325.0,319.74234
370.0,352.81055
414.99999999999994,384.34943
364.0,414.91064
48.0,377.00842
94.33333333333334,132.89143
140.66666666666669,175.9661
187.0,211.32053
233.33333333333334,249.7674
279.6666666666667,285.96918
326.0,320.26947
870.0,353.0746
1414.0,696.4245
1147.0,976.63983
880.0,855.4851
613.0,703.4973
557.0,529.2739
550.0,496.85004
686.0,495.8241
299.0,590.6161
68.0,320.1866
172.0,155.55145
610.0,243.69377
1048.0,548.9008
797.3333333333334,807.84546
546.6666666666667,667.67566
296.0,504.88248
325.0,321.90158
354.0,347.21646
355.0,368.86212
356.0,373.02628
357.0,375.9875
358.0,377.5023
359.0,378.21194
360.0,378.42224
470.00000000000006,378.4001
580.0,454.83716
1000.0,527.3794
973.0,776.085
1118.5,763.58344
1264.0,843.62885
301.0,914.57196
466.0,286.69458
552.6666666666666,443.86212
639.3333333333334,498.20996
726.0,563.99585
812.6666666666667,622.5275
899.3333333333334,676.78345
986.0,727.3195
547.0,775.1168
32.0,492.1883
89.0,109.8212
345.0,173.21535
369.0,366.93283
393.0,389.04285
417.0,410.11157
441.00000000000006,425.3687
465.0,439.60715
488.99999999999994,453.5015
513.0,467.5533
393.0,481.9519
273.0,396.13748
153.0,309.22763
33.0,218.97469
108.24999999999999,126.92172
183.5,191.04744
258.75,250.22241
334.0,308.24527
1001.6666666666666,362.69452
1669.3333333333333,767.7964
2337.0,1081.9327
1543.0,1314.4216
144.0,1032.4989
138.75,135.31679
133.5,192.54405
128.25,189.43428
123.0,203.84238
156.66666666666666,211.95216
190.33333333333331,245.04535
224.0,272.1951
257.66666666666663,295.91574
291.3333333333333,317.1612
325.0,337.28122
431.0,357.21426
537.0,428.36942
535.5,497.41782
534.0,494.28278
532.5,491.6905
531.0,489.10776
529.5,487.75696
528.0,487.19473
427.5,487.07733
327.0,418.0265
388.75,348.1838
450.50000000000006,395.50482
512.25,439.60342
574.0,483.3592
288.0,524.68005
95.0,319.52264
360.5,175.73894
626.0,376.70343
546.0,555.6688
466.0,505.94916
386.0,451.82996
306.0,392.8112
225.99999999999997,334.19046
146.0,275.46487
162.0,216.24014
257.0,231.56244
352.0,304.5339
447.0,374.29364
128.0,440.8858
98.0,200.82173
68.0,181.91154
216.99999999999997,155.79213
327.0,272.26547
330.4,353.3623
333.8,356.48178
337.2,357.9826
340.6,358.4271
344.0,359.53726
382.6363636363636,361.285
421.27272727272725,388.82556
459.9090909090909,415.99588
498.5454545454545,443.06937
537.1818181818181,469.53986
575.8181818181818,495.46912
614.4545454545455,520.9279
653.090909090909,545.98364
691.7272727272727,570.68066
730.3636363636363,595.0427
769.0,619.0775
602.0,642.7853
538.0,533.91656
451.99999999999994,494.03943
366.0,435.0541
280.0,376.9866
194.0,317.1949
108.00000000000001,255.78027
22.0,192.39665
162.0,126.84669
302.0,239.15591
319.0,342.346
336.0,354.4353
353.0,364.73544
370.0,373.44254
387.0,382.80603
31.0,392.94354
37.0,117.25444
35.833333333333336,129.96548
34.666666666666664,128.49915
33.5,131.3011
32.333333333333336,132.64835
31.166666666666664,132.73376
29.999999999999996,131.7351
69.33333333333334,130.01208
108.66666666666669,160.04758
148.0,189.33846
88.0,218.43123
28.0,170.2069
29.999999999999996,121.65658
32.0,122.62803
94.0,124.15288
93.2,173.90298
92.4,173.56352
91.6,173.40509
90.8,172.40411
90.0,171.51462
233.0,170.75868
376.0,279.7226
387.3,383.15524
398.6,391.65204
409.9,398.93
421.19999999999993,405.26114
432.50000000000006,412.504
443.80000000000007,420.44095
455.1,428.8362
